Date,Open*,High,Low,Close**,Volume,Market Cap
8/5/2019,150.37,158.01,150.15,154.04,356214803,2750380989
8/4/2019,151.81,153.58,146.48,150.5,304525776,2687245449
8/3/2019,148.51,155.25,147.91,151.74,303058062,2709326271
8/2/2019,146.74,157.03,145.72,148.54,315048239,2652230835
8/1/2019,148.03,148.76,141.76,146.74,294749555,2620088257
7/31/2019,146.7,151.44,145.76,147.98,372187747,2642119495
7/30/2019,146.31,151.42,142.78,146.88,310051662,2622539003
7/29/2019,147.64,153.06,144.68,146.35,351580630,2613121947
7/28/2019,151.85,152.07,138.12,147.87,331028992,2640158080
7/27/2019,163.14,164.93,147.83,151.85,389906728,2711335583
7/26/2019,162.12,163.97,156.58,163.14,335536585,2912946056
7/25/2019,168.12,170.7,161.91,162.05,362315489,2893424745
7/24/2019,169.87,170.07,156.67,168.15,473528100,3002320139
7/23/2019,168.45,181.39,163.48,169.92,487997158,3033899432
7/22/2019,176.77,178.5,163.84,168.38,407459369,3006469595
7/21/2019,172.97,188.07,164.75,176.7,508699424,3154961437
7/20/2019,146.06,181.28,146.02,172.86,598603382,3086491552
7/19/2019,135.45,146.94,133.92,145.95,343949930,2605902115
7/18/2019,120.18,138.3,118.7,135.45,423360161,2418436065
7/17/2019,111.23,124.66,108.61,120.25,410415966,2147055723
7/16/2019,129.42,135.44,110.61,111.33,402596666,1987830100
7/15/2019,126.31,132.69,106.7,129.34,579118154,2309344979
7/14/2019,153.99,155.35,125.4,126.4,354809356,2256919348
7/13/2019,166.68,166.85,148.4,153.8,274784587,2746032598
7/12/2019,163.09,170.11,154.8,166.61,355403798,2974737453
7/11/2019,191.01,191.36,154.18,162.79,454676972,2906555620
7/10/2019,204.95,208.51,183.18,190.98,417095458,3409859510
7/9/2019,201.42,213.55,200.65,204.78,415041486,3656288346
7/8/2019,199.7,202.19,196.73,201.51,335586229,3597982934
7/7/2019,198.44,202.49,189.71,199.55,321610434,3563006593
7/6/2019,198.78,203.29,195.85,198.28,294431974,3540357312
7/5/2019,196.1,204.08,194.69,198.72,342311892,3548070338
7/4/2019,203.98,205.46,194.7,196.28,343528997,3504637137
7/3/2019,196.03,205.67,196.03,203.96,387613310,3641773067
7/2/2019,197.61,198.53,183.07,196.01,440032169,3499705964
7/1/2019,194.2,203.12,186.83,197.53,472842297,3526901662
6/30/2019,214.5,219,194.2,194.2,474619499,3467494147
6/29/2019,210.9,214.52,203.98,214.36,494932038,3827360946
6/28/2019,197.4,226.56,193.35,211.31,710425552,3772892456
6/27/2019,219.53,225.87,181.81,197.11,824199502,3519389125
6/26/2019,238.02,250.06,200.97,219.3,944584216,3915511309
6/25/2019,235.34,245.38,233.89,238.02,503047721,4249910362
6/24/2019,237.37,239.35,228.51,234.98,429771128,4195220389
6/23/2019,238.53,244.51,231.26,237.37,481450076,4237495802
6/22/2019,222.49,255.88,222.28,238.34,790157733,4254524001
6/21/2019,217,225.5,217,222.3,463710554,3967815685
6/20/2019,224.34,226.77,208.7,217.44,418563454,3880633278
6/19/2019,222.91,226.81,221.44,224.39,282370528,4004167594
6/18/2019,225.37,230.53,218.96,222.5,409787530,3970083018
6/17/2019,212.13,233.82,212,225.35,486086957,4020622908
6/16/2019,209.91,218.75,208.12,212.17,459971394,3785005960
6/15/2019,215.45,215.54,204.55,209.91,393473435,3744341701
6/14/2019,212.96,216.08,203.55,215.72,484575773,3847644002
6/13/2019,189.46,218.33,189.46,213.06,620178218,3799711913
6/12/2019,186.12,192.73,184.65,189.5,400363266,3379195183
6/11/2019,192.24,192.63,182.74,186.25,374841356,3320911750
6/10/2019,185.2,194.12,181.55,192.39,521254229,3430103820
6/9/2019,195.42,198.16,182.04,185.37,486304407,3304678227
6/8/2019,203.89,204.55,190.41,195.44,490959287,3483742483
6/7/2019,200,209.56,192.75,203.98,645656461,3635672313
6/6/2019,217.53,217.7,179.07,200.28,804600969,3569339141
6/5/2019,229.24,233.96,204.86,217.81,908076210,3881289464
6/4/2019,220.65,233.27,207.33,229.24,1041376694,4084676912
6/3/2019,191.97,236.11,191.97,221,1276844770,3937337539
6/2/2019,189.04,193.28,184.44,191.97,399065617,3419756287
6/1/2019,195.78,196.07,185.94,189.04,443075483,3367270621
5/31/2019,184.7,199.37,177.68,195.79,860474026,3487100466
5/30/2019,201.1,251.07,176.48,184.7,1701098408,3289282118
5/29/2019,121.7,201.17,114.62,201.17,1372257576,3582225041
5/28/2019,116.76,126.38,113.97,121.72,360355881,2167142402
5/27/2019,106.29,121.68,104.24,117.05,464164742,2083869455
5/26/2019,92.82,114.78,88.83,106.08,395277784,1888474994
5/25/2019,99.07,99.65,88.69,92.84,232005986,1652393022
5/24/2019,101.73,101.93,96.59,99.07,263760378,1763217329
5/23/2019,104.81,105.94,95.8,101.76,311327876,1810944373
5/22/2019,104.28,118.39,98.27,104.71,645603421,1863328056
5/21/2019,63.17,139.31,61.71,104.28,849739777,1855438824
5/20/2019,65.58,65.58,60.71,63.15,133817626,1123485671
5/19/2019,59.55,66.71,59.41,65.58,180383225,1166554606
5/18/2019,60.09,61.15,59.33,59.57,109057663,1059511944
5/17/2019,64.7,65.56,55.67,60.32,204200358,1072852685
5/16/2019,72.52,75.02,63.98,64.77,278082971,1151758916
5/15/2019,60.36,74.22,59.97,72.74,237979817,1293433953
5/14/2019,60.45,63.85,58.52,60.23,213959690,1070946536
5/13/2019,57.75,61.86,57.16,60.46,179303818,1074941102
5/12/2019,60.97,64.52,56,57.75,194447328,1026678560
5/11/2019,57.84,63.32,57.37,60.97,201908379,1083724102
5/10/2019,56.71,58.52,55.71,57.87,108481767,1028623688
5/9/2019,59.06,59.11,55.94,56.74,124125121,1008373664
5/8/2019,52.71,59.2,52.48,59.09,133689050,1050005511
5/7/2019,52.8,53.77,52.62,52.8,97303577,938176122
5/6/2019,53.64,53.64,51.77,52.84,98035276,938762869
5/5/2019,53.59,54.71,53.05,53.66,89974873,953140153
5/4/2019,54.17,54.96,52.96,53.57,122251186,951273074
5/3/2019,53.14,55.37,52.78,54.16,123618537,961878906
5/2/2019,53.5,54.08,52.56,53.14,95570062,943639005
5/1/2019,54.2,55.14,53.17,53.53,106057394,950557694
4/30/2019,52.78,54.43,52.46,54.19,113908288,962208644
4/29/2019,54.28,54.42,52.22,52.75,104679316,936567845
4/28/2019,54.5,55.42,54.03,54.28,97437821,963545504
4/27/2019,53.87,55.19,52.97,54.5,92755636,967313508
4/26/2019,51.51,56.02,50.92,53.84,147698251,955485270
4/25/2019,54.19,55.95,50.52,51.4,119815217,912123921
4/24/2019,56.33,56.36,50.29,54.1,122432498,959917784
4/23/2019,57.82,58.94,56.31,56.33,94085913,999460331
4/22/2019,56.61,59.7,55.6,57.81,106421505,1025606167
4/21/2019,58.77,58.85,55.09,56.63,123194177,1004489953
4/20/2019,59.4,59.6,58.39,58.75,97374625,1042112591
4/19/2019,59.5,60.91,57.96,59.4,118232833,1053423314
4/18/2019,55.33,62.59,54.83,59.49,175668105,1055017980
4/17/2019,57.34,57.34,54.8,55.34,119936671,981298471
4/16/2019,59.3,61.42,54.24,57.47,191336609,1018875678
4/15/2019,71.05,74.3,59.03,59.29,237454559,1051114028
4/14/2019,69.96,71.06,69.24,71.05,83823672,1259417048
4/13/2019,71.42,72.02,69.5,69.96,96837329,1239968452
4/12/2019,71.77,74.37,69.11,71.45,143465843,1266262232
4/11/2019,80.07,84.12,69.15,71.75,199924705,1271485723
4/10/2019,78.66,82.06,78.6,80.07,123540292,1418740152
4/9/2019,83.16,83.17,77.46,78.65,134536135,1393574891
4/8/2019,86.34,87.87,81.33,83.16,171370508,1473242001
4/7/2019,84.65,87.52,83.56,86.41,176075347,1526953180
4/6/2019,84.33,89.27,82.59,84.66,188899709,1495936740
4/5/2019,82.9,85.97,82.54,84.32,174697160,1490030100
4/4/2019,82.5,93.25,80.84,83,360592952,1466712265
4/3/2019,78.64,95.14,78.64,82.05,654020727,1449888414
4/2/2019,66.1,80.36,65.98,78.83,329007780,1392949254
4/1/2019,64.97,66.66,64.71,66.08,87877273,1167678134
3/31/2019,65.02,65.17,64.44,64.98,65214626,1148254869
3/30/2019,64.25,68.76,64.18,65.02,81489759,1148897979
3/29/2019,64.68,65.18,64.09,64.36,100661362,1137338122
3/28/2019,66.01,66.03,64.19,64.68,82857486,1142925213
